time,alpha,budget
0,141.50415521708226,500
0,141.80244623873944,501
0,142.08382524493277,502
0,142.35377009235387,503
0,142.5412375254885,504
0,142.8073282984261,505
0,143.04674504656998,506
0,143.23726153836273,507
0,143.74276495165998,508
0,143.98691993576278,509
0,144.2641852092162,510
0,144.44728672269522,511
0,144.64490808488242,512
0,144.8406479522316,513
0,145.03284452770515,514
0,145.3397547180805,515
0,145.66606760589738,516
0,145.93519262517165,517
0,146.10759252541786,518
0,146.48244464201113,519
0,146.7275749271737,520
0,146.86990514974133,521
0,147.1254799199609,522
0,147.35478434942897,523
0,147.5853490724555,524
0,147.86224601607853,525
0,148.07829682004615,526
0,148.27990238322985,527
0,148.56750043097526,528
0,148.7415654037966,529
0,148.93568130111007,530
0,149.21962826971244,531
0,149.37359710372658,532
0,149.5766604799823,533
0,149.85642860998237,534
0,150.1429297630286,535
0,150.37772456761698,536
0,150.64868672609762,537
0,150.89537503507276,538
0,151.28794650908645,539
0,151.50603683506037,540
0,151.70345402770832,541
0,151.84913026162755,542
0,152.12114442012398,543
0,152.29870167011578,544
0,152.61610083020057,545
0,153.03917291019536,546
0,153.34272491243345,547
0,153.53808210595287,548
0,153.767265375651,549
0,154.02225963180447,550
0,154.3297555023804,551
0,154.7516672991358,552
0,155.04610482020885,553
0,155.39631298559584,554
0,155.80168500212216,555
0,156.1470848850274,556
0,156.5122523092826,557
0,156.7663685077322,558
0,156.9830988780973,559
0,157.37527497522908,560
0,157.66239612046596,561
0,157.83692463659733,562
0,158.10013081851267,563
0,158.40673577513354,564
0,158.6193556531328,565
0,158.916227066205,566
0,159.20596893310812,567
0,159.61830974266994,568
0,159.8735069164119,569
0,160.06353616386096,570
0,160.4223674270611,571
0,160.68472856297038,572
0,160.9642500969603,573
0,161.18588293511837,574
0,161.51780656464678,575
0,161.8397961105846,576
0,162.23648754907128,577
0,162.39220121704156,578
0,162.76060734476448,579
0,163.04057405557137,580
0,163.1809945657822,581
0,163.34863609703072,582
0,163.5654483864475,583
0,163.88615482379032,584
0,164.23731360239574,585
0,164.47478420843657,586
0,164.6614319943679,587
0,164.8774158733285,588
0,165.0556151466231,589
0,165.49034615043547,590
0,165.76795845482806,591
0,166.01041356887265,592
0,166.27566454819305,593
0,166.59600936001746,594
0,166.8662385806124,595
0,167.06217244057532,596
0,167.38368581334177,597
0,167.71737989590738,598
0,167.93742392416226,599
0,168.3194570699683,600
0,168.5826843081182,601
0,168.94784335818284,602
0,169.2406202194748,603
0,169.48036669969412,604
0,169.75680545963334,605
0,169.97853191588902,606
0,170.39902251200093,607
0,170.74167455911012,608
0,171.02157030311432,609
0,171.30529692771486,610
0,171.54904439459835,611
0,172.0727771580384,612
0,172.4961629495926,613
0,172.90553554383501,614
0,173.37749354938288,615
0,173.59477361813276,616
0,174.12119257542648,617
0,174.55921168577123,618
0,174.75188063230982,619
0,175.0839294616187,620
0,175.6347335995248,621
0,176.26869085821943,622
0,176.56713356285445,623
0,176.88522522874564,624
0,177.26086107619855,625
0,177.5587188090072,626
0,177.73987802664712,627
0,178.16863719818167,628
0,178.2897709751255,629
0,178.54989520296647,630
0,178.99437227383075,631
0,179.4072481661672,632
0,179.63960172927412,633
0,180.00098167860438,634
0,180.42552064262094,635
0,180.5569819002805,636
0,180.95984627031834,637
0,181.21730662202168,638
0,181.3299421430965,639
0,181.69569547700834,640
0,182.03009192632504,641
0,182.34427445479645,642
0,182.70771508836518,643
0,183.3409254177572,644
0,183.62668187383227,645
0,183.95787975294635,646
0,184.21176764891445,647
0,184.41356730368176,648
0,184.56304369160083,649
0,184.82085272426414,650
0,185.32956582422688,651
0,185.6068815743431,652
0,185.95950759817273,653
0,186.24790913357108,654
0,186.53357740934902,655
0,186.8297908720437,656
0,187.01587351167007,657
0,187.26442235959885,658
0,187.59050472484537,659
0,187.86817132972376,660
0,188.11204373201747,661
0,188.5910966774588,662
0,188.97152469064375,663
0,189.17797339729486,664
0,189.44286289433717,665
0,189.72925539441712,666
0,190.12609908770347,667
0,190.3325993813376,668
0,190.60236493240248,669
0,190.70491908017044,670
0,191.11239727960876,671
0,191.48863279272146,672
0,192.03123983831324,673
0,192.43595988358095,674
0,192.58776968234565,675
0,192.62013149357233,676
0,192.84047747999944,677
0,193.15115193627466,678
0,193.65340115879036,679
0,193.95535522620742,680
0,194.18979827534724,681
0,194.40249762601206,682
0,194.81816039659495,683
0,195.1002076999455,684
0,195.30107171046603,685
0,195.6717220341894,686
0,196.11376833689408,687
0,196.52691822590364,688
0,197.020399095017,689
0,197.29296491946883,690
0,197.69456988841893,691
0,197.94186135894128,692
0,198.19598305592854,693
0,198.42077612267497,694
0,198.76720024657527,695
0,199.21949509912764,696
0,199.40027264468023,697
0,199.7031309979481,698
0,200.01200795404228,699
0,200.35374185296763,700
0,200.41552664211014,701
0,200.41552664211162,702
0,200.4155266421157,703
0,200.4155266421167,704
0,200.41552664212037,705
0,200.4155266421218,706
0,200.41552664212463,707
0,200.4155266421255,708
0,200.415526642129,709
0,200.4155266421312,710
0,200.4155266421327,711
0,200.41552664213694,712
0,200.56468926210488,713
0,200.81758613141417,714
0,201.11518697851764,715
0,201.4475252320604,716
0,201.99404031924215,717
0,202.34489718801657,718
0,202.60293470366418,719
0,202.81498609585017,720
0,203.26698449635103,721
0,203.72579996567094,722
0,204.12305649553085,723
0,204.6376442930568,724
0,204.97575110705566,725
0,205.47318844540052,726
0,205.6868738158453,727
0,206.00402794818893,728
0,206.4889275683121,729
0,206.919874612553,730
0,207.39015521010398,731
0,207.86952199492947,732
0,208.26441047784755,733
0,208.75819989794448,734
0,209.04428054359502,735
0,209.3629152918371,736
0,209.65646470819348,737
0,210.20410631817637,738
0,210.58474004414168,739
0,210.82894072831613,740
0,211.14954635316352,741
0,211.27046173753786,742
0,211.64421950823956,743
0,211.98048365475648,744
0,212.77412649590457,745
